datetime,predicted_speed
2024-04-02 00:00:00,61.326897
2024-04-02 00:05:00,61.60202
2024-04-02 00:10:00,61.887657
2024-04-02 00:15:00,62.1448
2024-04-02 00:20:00,62.43357
2024-04-02 00:25:00,62.743282
2024-04-02 00:30:00,63.058704
2024-04-02 00:35:00,63.381947
2024-04-02 00:40:00,63.70934
2024-04-02 00:45:00,64.03888
2024-04-02 00:50:00,64.371315
2024-04-02 00:55:00,64.70569
2024-04-02 01:00:00,65.0427
2024-04-02 01:05:00,65.379974
2024-04-02 01:10:00,65.71702
2024-04-02 01:15:00,66.05317
2024-04-02 01:20:00,66.38793
2024-04-02 01:25:00,66.720665
2024-04-02 01:30:00,67.05066
2024-04-02 01:35:00,67.377335
2024-04-02 01:40:00,67.70005
2024-04-02 01:45:00,68.018234
2024-04-02 01:50:00,68.33135
2024-04-02 01:55:00,68.638885
2024-04-02 02:00:00,68.94037
2024-04-02 02:05:00,69.23533
2024-04-02 02:10:00,69.523384
2024-04-02 02:15:00,69.80417
2024-04-02 02:20:00,70.07736
2024-04-02 02:25:00,70.34268
2024-04-02 02:30:00,70.59989
2024-04-02 02:35:00,70.848816
2024-04-02 02:40:00,71.0893
2024-04-02 02:45:00,71.321236
2024-04-02 02:50:00,71.54457
2024-04-02 02:55:00,71.75926
2024-04-02 03:00:00,71.96533
2024-04-02 03:05:00,72.16281
2024-04-02 03:10:00,72.35179
2024-04-02 03:15:00,72.53236
2024-04-02 03:20:00,72.70464
2024-04-02 03:25:00,72.86881
2024-04-02 03:30:00,73.02505
2024-04-02 03:35:00,73.17352
2024-04-02 03:40:00,73.31447
2024-04-02 03:45:00,73.44809
2024-04-02 03:50:00,73.574615
2024-04-02 03:55:00,73.69431
2024-04-02 04:00:00,73.80741
2024-04-02 04:05:00,73.91417
2024-04-02 04:10:00,74.01484
2024-04-02 04:15:00,74.10969
2024-04-02 04:20:00,74.19896
2024-04-02 04:25:00,74.28292
2024-04-02 04:30:00,74.36181
2024-04-02 04:35:00,74.43588
2024-04-02 04:40:00,74.50538
2024-04-02 04:45:00,74.57053
2024-04-02 04:50:00,74.63158
2024-04-02 04:55:00,74.68873
2024-04-02 05:00:00,74.74221
2024-04-02 05:05:00,74.79222
2024-04-02 05:10:00,74.83897
2024-04-02 05:15:00,74.88263
2024-04-02 05:20:00,74.9234
2024-04-02 05:25:00,74.96145
2024-04-02 05:30:00,74.99694
2024-04-02 05:35:00,75.03003
2024-04-02 05:40:00,75.06088
2024-04-02 05:45:00,75.08962
2024-04-02 05:50:00,75.11639
2024-04-02 05:55:00,75.14132
